Harry Potter;;;
Programmation;;;
Lequel de ces langages ne peut pas être exécuté côté serveur ?;HTML;JavaScript;PHP
Lequel de ces langages a la vitesse d'éxécution la plus rapide ?;C;PHP;Python
Quel est l'animal qui représente habituellement le langage PHP ?;Elephant;Serpent;Souris
Lequel de ces systèmes d'exploitation est sous environnement UNIX ?;Debian;Windows;Java
Lequel de ces langages est reconnu pour sa grande portabilité et sa flexibilité ?;Java;Python;C++
Laquelle de ces propositions n'est pas un langage de programmation ?;Saphir;Ruby;Perl
Quelle commande permet de planifier l'éxécution de tâches sous UNIX ?;crontab;task;run
Quel est le composant principal d'un ordinateur, sur lequel sont greffés les autres ?;Carte mère;Processeur;Carte graphique
Quel port externe n'existe pas sur un ordinateur ?;VGE;HDMI;USB
Quel nom d'attaque n'existe pas dans le domaine de la sécurité ?;MS-DOS 95;DDOS;Bruteforce
;;;
Sigles informatiques;;;
Que signifie HTTP ?;Hyper Text Transfer Protocol;Host Type Text Protocol;Host Trame Transfer Protocol
Que signifie SSL ?;Secure Socket Layer;Socket Same Loundge;Security Socket Law
Que signifie FTP ?;File Transfer Protocol;Film Transfert Processus;File Trame Pratical
Laquelle de ces propositions n'est pas un SGBDR ?;CSV;MySQL;MongoDB
Que signifie WWW ?;World Wide Web;Word Wild Web;Warp World Web
Que signifie URI ?;Uniform Resource Identifier;Ulimit Redirection Id;Unity Range Information
Que signifie IP ?;Internet Protocol;Internic Procedural;Internal Processus
Qu'est-ce que peut évoquer REMOTE_ADDR ?;Une Adresse IP;Une Adresse MAC;Une Prise de contrôle
Laquelle de ces propositions n'est pas une IP correcte ?;128.256.0.1;127.0.0.1;255.255.0.0
Laquelle de ces propositions n'est pas une MAC correcte ?;EX:3F:7E:E6:2D:58;EA:9D:00:5B:CE:FF;AA:BB:CC:DD:EE:FF
;;;
